ab,106606
ac,223943
ad,291866
ae,355007
af,123664
ag,136937
ah,383180
ai,194788
aj,11431
ak,52724
al,387728
am,261138
an,727593
ao,45377
ap,155450
aq,1792
ar,488245
as,511250
at,576077
au,80456
av,111727
aw,197161
ax,7595
ay,135137
az,7308
bc,1086
bd,60809
be,256631
bf,8567
bg,8968
bh,9375
bi,43327
bj,5002
bk,2884
bl,72825
bm,29436
bn,26547
bo,102488
bp,2236
bq,17
br,64831
bs,51546
bt,40086
bu,85757
bv,982
bw,3772
bx,362
by,76424
bz,435
cd,27277
ce,340608
cf,12913
cg,5684
ch,194877
ci,190486
cj,280
ck,41519
cl,45235
cm,4877
cn,118916
co,216382
cp,2066
cq,1828
cr,77290
cs,78927
ct,102416
cu,73449
cv,357
cw,3824
cx,8302
cy,25909
cz,714
de,651142
df,42847
dg,29301
dh,71873
di,280260
dj,4731
dk,4994
dl,123813
dm,42494
dn,477732
do,176249
dp,22093
dq,1751
dr,125433
ds,119765
dt,194875
du,61667
dv,9728
dw,57287
dx,627
dy,44781
dz,1025
ef,182418
eg,186920
eh,1096184
ei,295088
ej,25073
ek,96676
el,447982
em,405828
en,700991
eo,151198
ep,227181
eq,15363
er,1149822
es,735511
et,611023
eu,91781
ev,307508
ew,272179
ex,47530
ey,111133
ez,15499
fg,16224
fh,32034
fi,128455
fj,2646
fk,4443
fl,55311
fm,22008
fn,42931
fo,447611
fp,12695
fq,348
fr,101438
fs,58012
ft,165836
fu,41829
fv,2688
fw,15946
fx,511
fy,27881
fz,397
gh,98768
gi,126102
gj,796
gk,1784
gl,33960
gm,12421
gn,292598
go,87676
gp,5295
gq,377
gr,85724
gs,42037
gt,62838
gu,72889
gv,1882
gw,13357
gx,177
gy,13786
gz,524
hi,313029
hj,1094
hk,6598
hl,21065
hm,24687
hn,56479
ho,207520
hp,22039
hq,370
hr,67660
hs,176496
ht,1203961
hu,31787
hv,2133
hw,166020
hx,1523
hy,41073
hz,842
ij,1239
ik,56277
il,290580
im,191740
in,727125
io,175513
ip,56219
iq,2419
ir,301895
is,502180
it,621542
iu,42373
iv,108212
iw,144868
ix,12376
iy,36638
iz,10803
jk,266
jl,1057
jm,791
jn,6069
jo,16511
jp,194
jq,4
jr,3070
js,4657
jt,3635
ju,16288
jv,44
jw,482
jy,2926
kl,15004
km,3112
kn,46432
ko,42365
kp,2033
kq,89
kr,23983
ks,33317
kt,16506
ku,7781
kv,326
kw,6151
kx,41
ky,6871
kz,206
lm,20162
ln,40384
lo,212265
lp,69873
lq,1117
lr,47050
ls,83352
lt,113611
lu,132534
lv,9648
lw,21967
lx,654
ly,124215
lz,1624
mn,34542
mo,263719
mp,50272
mq,422
mr,71820
ms,77845
mt,66621
mu,63354
mv,1501
mw,14200
mx,531
my,62869
mz,600
no,622011
np,18425
nq,4798
nr,71207
ns,185261
nt,406792
nu,153137
nv,16925
nw,74085
nx,1665
ny,48611
nz,4554
op,151233
oq,1452
or,512076
os,302257
ot,563354
ou,339754
ov,70173
ow,196965
ox,3817
oy,128466
oz,2859
pq,89
pr,116866
ps,91242
pt,52770
pu,69538
pv,1156
pw,4642
px,11966
py,20153
pz,346
qr,2314
qs,7249
qt,3555
qu,47206
qv,28
qw,255
qy,848
rs,167305
rt,282287
ru,198298
rv,19565
rw,47033
rx,1012
ry,87941
rz,2294
st,501823
su,216475
sv,10259
sw,88061
sx,1425
sy,68994
sz,1368
tu,201609
tv,5990
tw,96480
tx,10575
ty,121827
tz,5827
uv,4829
uw,8932
ux,3817
uy,5964
uz,8350
vw,664
vx,1000
vy,5202
vz,206
wx,491
wy,39451
wz,1270
xy,536
xz,8
yz,632
